问题id,问题,FA
1,湖南长远锂科股份有限公司变更设立时作为发起人的法人有哪些？,湖南长远锂科股份有限公司变更设立时的发起人有五矿股份、长沙矿冶院、宁波创元、深圳安晏、尚颀颀旻、安鹏智慧、国调基金、建信投资、信石信远、华能融科、中信投资、三峡金石、伊敦基金、中启洞鉴14家法人。
6,云南沃森生物技术股份有限公司负责产品研发的是什么部门？,根据给定材料，云南沃森生物技术股份有限公司负责产品研发的是疫苗研发中心。
10,本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的多少股份？占公司总股份的多少？,本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的65.89%股份，占公司总股份的65.89%。
11,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,无法回答
13,近三年，广东银禧科技股份有限公司总资产周转率分别为多少？,近三年，广东银禧科技股份有限公司总资产周转率分别为1.84次、1.50次和1.56次。
15,云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有哪些较强的竞争优势？,云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有较强的竞争优势，包括专利技术基础、产品便利性、安全性、适用性及有效性指标方面的竞争优势，以及冻干剂型能够保证疫苗的质量。此外，该产品的生产工艺和质量标准高于欧洲药典标准，同时具备较强的市场潜力。
16,根据联化科技股份有限公司招股意见书，精细化工产品的通常利润率是多少？,根据给定材料，无法找到关于精细化工产品通常利润率的具体信息。
17,各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为多少万元？占流动资产的比例分别多少？,"各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为4,924.58万元、6,647.27万元、8,576.59万元和9,832.60万元。占流动资产的比例分别为14.15%、20.32%、17.02%和21.14%。"
20,在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,无法回答
21,华瑞电器股份有限公司获得多少项国内专利？其中有多上项发明专利？,根据材料，华瑞电器股份有限公司获得了58项国内专利，其中13项是发明专利。
24,深圳信立泰药业股份有限公司注射用头孢西丁钠（信希汀、1.0克装）在2006年、2007年、2008年、2009年1-6月的最高零售价格分别为多少？,根据材料，深圳信立泰药业股份有限公司注射用头孢西丁钠（信希汀、1.0克装）在2006年、2007年、2008年、2009年1-6月的最高零售价格分别为42.20元/支、42.20元/支、42.20元/支和42.20元/支。
27,中国铁路通信信号股份有限公司的主要经营模式是怎样的？,"中国铁路通信信号股份有限公司的核心主业围绕轨道交通控制系统行业，主要包括系统集成、设备制造及系统交付、工程总承包业务。此外，公司还提供其他业务如信号系统检测维修、培训及技术支持等服务。

公司整体销售模式按照主要客户中国铁路总公司、各客专公司及各城市轨道交通公司的公开招标模式进行投标，采用市场化公开投标方式。公司制定了《中国铁路通信信号股份有限公司招投标管理办法》，对投标流程进行规范。公司大部分产品通过参与招投标获取订单，招投标方式包括独立投标和联合投标两种形式。公司设有专门的市场营销部门，负责收集、分析市场信息，编制年度营销策略、统筹协调公司整体市场开发工作等。

在生产及服务模式方面，公司采用了一套相对稳定和成熟的模式，主要服务于轨道交通行业。公司遵循ISO9001质量管理体系，对产品和服务的质量进行全过程控制。此外，公司还提供长期的技术支持和售后服务，以确保产品的正常运行和客户的满意度。"
33,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？,根据给定材料，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是：82.10%、97.31%、94.84%和94.34%。
34,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些企业？,材料提到，“电子信息行业的上游涉及信息系统相关的电子元器件制造企业，以及机箱、机柜等金属壳体制造企业，竞争充分，采购便利。”因此，电子信息行业的上游涉及信息系统相关的电子元器件制造企业和机箱、机柜等金属壳体制造企业。
37,广州中海达卫星导航技术股份有限公司本次募集资金主要投资哪些项目？,广州中海达卫星导航技术股份有限公司本次募集资金主要投资于高精度 GNSS 产品技改及产销扩能、海洋水声探测设备技改及扩能、卫星定位技术研发中心建设、GNSS 天线与 UHF 数据链自主配套和其他与主营业务相关的营运资金项目五个项目。
39,在2008年，东莞勤上光电股份有限公司在景观亮化半导体照明领域的市场占有率为多少？,2008年，东莞勤上光电股份有限公司在景观亮化半导体照明领域的市场占有率为3.88%。
40,湖南南岭民用爆破器材股份有限公司的控股股东是谁？,湖南南岭民用爆破器材股份有限公司的控股股东是湖南省南岭化工厂。
41,在研发方面，上海真兰仪表科技股份有限公司利用哪三地的人才优势，成立研发中心，组建了“三位一体”的研发体系？,上海真兰仪表科技股份有限公司利用上海、北京、西安三地的人才优势，成立研发中心，组建了“三位一体”的研发体系。
44,常熟风范电力设备股份有限公司的机器设备成新率是多少？,常熟风范电力设备股份有限公司的机器设备成新率是45.94%。
45,2009年、2010年及2011年，海南双成药业股份有限公司销售费用分别为多少？,"2009年、2010年及2011年，海南双成药业股份有限公司销售费用分别为924.34万元、947.44万元和 1,690.54万元。"
46,内蒙古君正能源化工股份有限公司的法定代表人是谁？,内蒙古君正能源化工股份有限公司的法定代表人是杜江涛。
47,联化科技股份有限公司的主营业务包括哪两部分？,联化科技股份有限公司的主营业务包括工业业务和贸易业务两部分。
49,读者出版传媒股份有限公司的主要纸张供应商有哪些？,给定材料中没有直接提到“读者出版传媒股份有限公司”的主要纸张供应商有哪些。
50,2014年大连派思燃气系统股份有限公司经营业绩下降的主要原因是什么？,2014年大连派思燃气系统股份有限公司的经营业绩下降的主要原因包括两个方面：一是受增压站（配压缩机）业务销售收入下降明显的影响，尽管公司各类产品销售数量有所增加，但总体销售收入仍然下降;二是由于市场竞争加剧，部分产品价格下降，导致综合毛利率降低。
52,在20190211，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,无法回答
59,森赫电梯股份有限公司的主营业务是什么？,检索不全，无法回答。
60,多晶硅成本约占宁波立立电子股份有限公司2007年度产品原材料成本的多大比例？,根据给定材料，没有直接提供多晶硅成本约占宁波立立电子股份有限公司2007年度产品原材料成本的百分比。
67,森赫电梯股份有限公司是否有技术创新方面的认定称号？是什么？,森赫电梯股份有限公司自 2011 年起被认定为“国家高新技术企业”。
69,珠海健帆生物科技股份有限公司的哪些产品被认定为广东省高新技术产品？,"根据给定材料，《珠海健帆生物科技股份有限公司》的产品中有以下几种被认定为广东省高新技术产品：
1. 一次性使用血液灌流器
2. 一次性使用血浆胆红素吸附器
3. DNA免疫吸附柱
4. 血液灌流机"
72,深圳信立泰药业股份有限公司专门的研发机构信立泰技术中心工作人员中，多大比例的人员为本科以上学历？,经查找，提取到如下信息：“目前，公司专门的研发机构信立泰技术中心工作人员中 70.45% 为本科以上学历，其中博士4人、硕士32人，拥有高级工程师职称的有12人”，因此可得答案：70.45%。
73,新疆浩源天然气股份有限公司2012年1-6月的营业毛利为多少，综合毛利率为多少？,根据给定材料，无法直接找到2012年1-6月的新疆浩源天然气股份有限公司的营业毛利和综合毛利率。
78,中国铁路通信信号股份有限公司提供轨道交通控制系统全产业链上的产品及服务，主要业务包括哪些？,公司提供轨道交通控制系统全产业链上的产品及服务，主要业务包括：1）设计集成，主要包括提供轨道交通控制系统相关产品的系统集成服务及为轨道交通工程为主的项目建设提供设计和咨询服务；2）设备制造，主要包括生产和销售信号系统、通信信息系统产品及其他相关产品；3）系统交付，主要包括轨道交通控制系统项目施工、设备安装及维护服务。
81,报告期内确成硅化学股份有限公司_出口退税率为多少？,根据给定材料，无法找到关于“报告期内确成硅化学股份有限公司出口退税率为多少？”的具体信息。
82,2021年年度报告里，凯石基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,根据给定材料，无法找到关于凯石基金管理有限公司管理的基金中机构投资者持有份额比个人投资者多的基金的信息。
84,除浙江双飞无油轴承股份有限公司外，具有规模的自润滑轴承生产企业还有哪些？,具有规模的自润滑轴承生产企业还有浙江长盛滑动轴承股份有限公司、浙江中达精密部件股份有限公司等。
85,深圳信立泰药业股份有限公司主营业务是什么？,深圳信立泰药业股份有限公司的主营业务包括心血管类、头孢类抗生素、骨吸收抑制剂类等药物的研发、生产和销售。
88,湖南南岭民用爆破器材股份有限公司的传统市场是哪里？,湖南南岭民用爆破器材股份有限公司的传统市场是湖南省市场，这是公司在该地区的传统市场，也是目前公司产品销售价格最高的市场。同时，为了进一步扩大公司生产规模、拓展市场覆盖范围，公司也在加大省外市场的拓展力度。
91,广州中海达卫星导航技术股份有限公司收购的对象中海达测绘的全称是什么？截至该次股权收购前，其注册资本为多少？,广州中海达卫星导航技术股份有限公司收购的对象中海达测绘的全称是“广州市中海达测绘仪器有限公司”，公司成立于1999年12月28日。截至该次股权收购前，其注册资本为800万元。
93,根据华瑞电器股份有限公司招股意见书，截至2016年12月31日，宁波胜克总资产为多少万元？,"截至2016年12月31日，宁波胜克总资产为55,746.37万元。"
95,武汉兴图新科电子股份有限公司参与制定了哪个技术标准？,"根据给定材料，武汉兴图新科电子股份有限公司参与制定了""军用视频监控系统技术接口标准""。"
96,西安启源机电装备股份有限公司的核心产品铁芯剪切设备的收入比重从2007年度和2009年度分别为多少？,2007年度为43.42%，2009年度为59.80%。
105,昇兴集团股份有限公司本次发行的拟上市证券交易所是？,昇兴集团股份有限公司本次发行的拟上市证券交易所是深圳证券交易所。
106,2015年度和2016年度，深圳市超频三科技股份有限公司净利润分别同比增长多少？,2015年度和2016年度，深圳市超频三科技股份有限公司净利润分别同比增长4.15%和10.83%。
